Instance,n,p,cplex setcover binary radius,cplex setcover binary #vars,cplex setcover binary #clauses,cplex setcover binary cpu,cplex setcover binary load,cplex setcover binary search,cplex setcover binary total
u1817,1817,10,457.91,1817,1818,4.303,1.366,34.224,35.589
u1817,1817,20,309.01,1817,1818,960.646,1.349,588.300,589.649
u1817,1817,30,240.99,1817,1818,54.478,1.368,473.220,474.588
u1817,1817,40,209.45,1817,1818,2866.537,1.361,3243.108,3244.469
u1817,1817,50,184.91,1817,1818,9.935,1.366,554.404,555.770
u1817,1817,60,162.64,1817,1818,5.979,1.360,62.487,63.847
u1817,1817,70,148.11,1817,1818,3.377,1.375,326.828,328.203
u1817,1817,80,136.77,1817,1818,128.287,1.368,227.121,228.489
u1817,1817,90,129.54,1817,1818,12.019,1.361,14425.594,14426.955
u1817,1817,100,126.99,1817,1818,3.332,1.366,13.850,15.217
u1817,1817,110,109.25,1817,1818,4.225,1.370,14.942,16.312
u1817,1817,120,107.76,1817,1818,1.354,1.365,13.005,14.370
u1817,1817,130,104.73,1817,1818,577.200,1.364,98.445,99.810
u1817,1817,140,101.6,1817,1818,29.782,1.361,19.428,20.789
u1817,1817,150,91.6,1817,1818,4.641,1.375,15.381,16.755
Num.,,,,,,15,15,15,15
Avg.,,,,,,311.073,1.365,1340.689,1342.054
