Instance,n,p,gurobi_mip setcover binary radius,gurobi_mip setcover binary #vars,gurobi_mip setcover binary #clauses,gurobi_mip setcover binary cpu,gurobi_mip setcover binary load,gurobi_mip setcover binary search,gurobi_mip setcover binary total
u1817,1817,10,457.91,1817,1818,4.253,1.355,35.874,37.229
u1817,1817,20,309.01,1817,1818,119.523,1.349,169.121,170.470
u1817,1817,30,240.99,1817,1818,19.631,1.351,86.285,87.637
u1817,1817,40,209.45,1817,1818,8.358,1.349,3179.765,3181.114
u1817,1817,50,184.91,1817,1818,9.511,1.357,576.634,577.991
u1817,1817,60,162.64,1817,1818,2.280,1.350,92.223,93.573
u1817,1817,70,148.11,1817,1818,0.485,1.352,481.709,483.061
u1817,1817,80,136.77,1817,1818,61.240,1.357,55.907,57.264
u1817,1817,90,129.54,1817,1818,2.605,1.350,14410.637,14411.987
u1817,1817,100,126.99,1817,1818,1.145,1.357,11.436,12.794
u1817,1817,110,109.25,1817,1818,0.714,1.354,13.020,14.374
u1817,1817,120,107.76,1817,1818,0.275,1.352,11.048,12.400
u1817,1817,130,104.73,1817,1818,185.610,1.357,44.492,45.849
u1817,1817,140,101.6,1817,1818,14.878,1.358,15.636,16.994
u1817,1817,150,91.6,1817,1818,4.103,1.363,13.499,14.862
Num.,,,,,,15,15,15,15
Avg.,,,,,,28.974,1.354,1279.819,1281.173
