Instance,n,p,glucose4 nsc hybrid_race radius,glucose4 nsc hybrid_race #vars,glucose4 nsc hybrid_race #clauses,glucose4 nsc hybrid_race cpu,glucose4 nsc hybrid_race load,glucose4 nsc hybrid_race search,glucose4 nsc hybrid_race total
u1060,1060,10,2273.08,11622,40150,0.002,0.529,7.080,7.610
u1060,1060,20,1580.8,1060,1061,3.119,0.526,13.763,14.289
u1060,1060,30,1207.77,1060,1061,1.833,0.513,12.412,12.925
u1060,1060,40,1020.56,1060,1061,3.245,0.516,11.173,11.689
u1060,1060,50,904.92,1060,1061,1.832,0.514,11.405,11.919
u1060,1060,60,781.17,62847,142500,0.676,0.512,11.813,12.325
u1060,1060,70,710.75,72793,163430,0.019,0.516,11.269,11.786
u1060,1060,80,652.16,1060,1061,1.505,0.512,9.000,9.513
u1060,1060,90,607.87,1060,1061,0.241,0.514,9.270,9.784
u1060,1060,100,570.01,1060,1061,0.232,0.513,9.100,9.613
u1060,1060,110,538.84,1060,1061,0.051,0.512,9.194,9.706
u1060,1060,120,510.27,1060,1061,0.295,0.511,10.049,10.561
u1060,1060,130,499.65,1060,1061,0.038,0.516,9.692,10.208
u1060,1060,140,452.46,1060,1061,0.025,0.512,9.337,9.849
u1060,1060,150,447.01,1060,1061,0.033,0.517,9.472,9.989
Num.,,,,,,15,15,15,15
Avg.,,,,,,0.876,0.516,10.269,10.784
