Instance,n,p,glucose4 nsc hybrid_race radius,glucose4 nsc hybrid_race #vars,glucose4 nsc hybrid_race #clauses,glucose4 nsc hybrid_race cpu,glucose4 nsc hybrid_race load,glucose4 nsc hybrid_race search,glucose4 nsc hybrid_race total
u1060,1060,10,2273.08,11622,40150,0.002,0.531,6.900,7.431
u1060,1060,20,1580.8,1060,1061,2.440,0.522,22.609,23.131
u1060,1060,30,1207.77,1060,1061,0.295,0.520,13.998,14.517
u1060,1060,40,1020.56,1060,1061,0.116,0.517,11.752,12.269
u1060,1060,50,904.92,1060,1061,0.203,0.517,12.965,13.482
u1060,1060,60,781.17,62847,142500,0.211,0.518,11.910,12.428
u1060,1060,70,710.75,1060,1061,0.131,0.519,13.177,13.696
u1060,1060,80,652.16,1060,1061,0.300,0.517,9.149,9.666
u1060,1060,90,607.87,1060,1061,0.052,0.516,8.880,9.396
u1060,1060,100,570.01,1060,1061,0.067,0.520,9.077,9.597
u1060,1060,110,538.84,1060,1061,0.047,0.518,9.590,10.108
u1060,1060,120,510.27,1060,1061,0.070,0.517,8.954,9.470
u1060,1060,130,499.65,1060,1061,0.045,0.519,9.498,10.017
u1060,1060,140,452.46,1060,1061,0.030,0.515,9.028,9.543
u1060,1060,150,447.01,1060,1061,0.041,0.521,9.373,9.894
Num.,,,,,,15,15,15,15
Avg.,,,,,,0.270,0.519,11.124,11.643
