Instance,n,p,kissat nsc hybrid_race radius,kissat nsc hybrid_race #vars,kissat nsc hybrid_race #clauses,kissat nsc hybrid_race cpu,kissat nsc hybrid_race load,kissat nsc hybrid_race search,kissat nsc hybrid_race total
u1817,1817,10,457.91,19932,39844,0.890,1.352,38.047,39.399
u1817,1817,20,309.01,37947,75854,59.660,1.351,516.220,517.572
u1817,1817,30,240.99,1817,1818,58.370,1.361,500.443,501.804
u1817,1817,40,209.45,73677,147274,113.560,1.345,1263.567,1264.912
u1817,1817,50,184.91,1817,1818,11.784,1.346,784.474,785.821
u1817,1817,60,162.64,1817,1818,6.821,1.348,123.635,124.983
u1817,1817,70,148.11,1817,1818,3.437,1.361,297.753,299.114
u1817,1817,80,136.77,1817,1818,141.606,1.345,305.344,306.689
u1817,1817,90,129.51,1817,1818,45.939,1.361,1860.612,1861.973
u1817,1817,100,126.99,1817,1818,4.338,1.371,25.071,26.442
u1817,1817,110,109.25,1817,1818,5.215,1.355,26.899,28.254
u1817,1817,120,107.76,1817,1818,1.541,1.357,23.259,24.616
u1817,1817,130,104.73,1817,1818,605.820,1.347,130.436,131.783
u1817,1817,140,101.6,1817,1818,34.611,1.349,36.906,38.255
u1817,1817,150,91.6,1817,1818,5.407,2.749,43.855,46.605
Num.,,,,,,15,15,15,15
Avg.,,,,,,73.267,1.447,398.435,399.881
