Instance,n,p,kissat nsc hybrid_race radius,kissat nsc hybrid_race #vars,kissat nsc hybrid_race #clauses,kissat nsc hybrid_race cpu,kissat nsc hybrid_race load,kissat nsc hybrid_race search,kissat nsc hybrid_race total
u1817,1817,10,457.91,19932,39844,0.970,1.372,37.777,39.149
u1817,1817,20,309.01,37947,75854,59.740,1.350,522.155,523.505
u1817,1817,30,240.99,1817,1818,58.144,1.350,499.982,501.332
u1817,1817,40,209.45,73677,147274,112.110,1.349,1254.982,1256.330
u1817,1817,50,184.91,1817,1818,12.871,1.353,787.049,788.402
u1817,1817,60,162.64,1817,1818,6.881,1.355,116.193,117.548
u1817,1817,70,148.11,1817,1818,3.426,1.372,295.372,296.745
u1817,1817,80,136.77,1817,1818,137.442,1.362,299.592,300.954
u1817,1817,90,129.51,1817,1818,45.993,1.351,1824.147,1825.498
u1817,1817,100,126.99,1817,1818,3.889,1.361,23.930,25.292
u1817,1817,110,109.25,1817,1818,5.230,1.369,27.049,28.418
u1817,1817,120,107.76,1817,1818,1.403,1.356,23.341,24.697
u1817,1817,130,104.73,1817,1818,605.188,1.346,131.101,132.447
u1817,1817,140,101.6,1817,1818,34.425,1.349,36.312,37.661
u1817,1817,150,91.6,1817,1818,5.237,2.735,43.651,46.386
Num.,,,,,,15,15,15,15
Avg.,,,,,,72.863,1.449,394.842,396.291
