Instance,n,p,kissat nsc hybrid_threshold radius,kissat nsc hybrid_threshold #vars,kissat nsc hybrid_threshold #clauses,kissat nsc hybrid_threshold cpu,kissat nsc hybrid_threshold load,kissat nsc hybrid_threshold search,kissat nsc hybrid_threshold total
u1817,1817,10,457.91,1817,1818,3.776,1.373,29.992,31.365
u1817,1817,20,309.01,1817,1818,951.936,1.366,578.922,580.288
u1817,1817,30,240.99,1817,1818,54.851,1.370,465.077,466.448
u1817,1817,40,209.45,1817,1818,2823.609,1.380,3195.934,3197.314
u1817,1817,50,184.91,1817,1818,10.550,1.367,545.784,547.150
u1817,1817,60,162.64,1817,1818,5.856,1.372,61.473,62.845
u1817,1817,70,148.11,1817,1818,3.275,1.378,322.766,324.144
u1817,1817,80,136.77,1817,1818,128.273,1.377,224.752,226.130
u1817,1817,100,126.99,1817,1818,3.158,1.385,15.241,16.626
u1817,1817,110,109.25,1817,1818,4.193,1.384,18.162,19.546
u1817,1817,120,107.76,1817,1818,1.326,1.383,15.999,17.383
u1817,1817,130,104.73,1817,1818,567.907,1.377,101.019,102.397
u1817,1817,140,101.6,1817,1818,28.937,1.371,23.507,24.878
u1817,1817,150,91.6,1817,1818,4.580,1.374,19.888,21.263
Num.,,,,,,14,14,14,14
Avg.,,,,,,328.016,1.376,401.323,402.698
