Instance,n,p,glucose4 nsc hybrid_threshold radius,glucose4 nsc hybrid_threshold #vars,glucose4 nsc hybrid_threshold #clauses,glucose4 nsc hybrid_threshold cpu,glucose4 nsc hybrid_threshold load,glucose4 nsc hybrid_threshold search,glucose4 nsc hybrid_threshold total
u1060,1060,10,2273.08,1060,1061,0.238,0.536,5.570,6.106
u1060,1060,20,1580.8,1060,1061,3.181,0.524,7.677,8.201
u1060,1060,30,1207.77,1060,1061,1.525,0.520,6.278,6.798
u1060,1060,40,1020.56,1060,1061,3.043,0.525,6.573,7.097
u1060,1060,50,904.92,1060,1061,1.583,0.521,5.536,6.057
u1060,1060,60,781.17,1060,1061,2.509,0.529,6.117,6.646
u1060,1060,70,710.75,1060,1061,0.521,0.515,5.845,6.360
u1060,1060,80,652.16,1060,1061,1.288,0.515,3.572,4.087
u1060,1060,90,607.87,1060,1061,0.155,0.519,3.453,3.972
u1060,1060,100,570.01,1060,1061,0.170,0.519,3.328,3.848
u1060,1060,110,538.84,1060,1061,0.049,0.521,3.413,3.933
u1060,1060,120,510.27,1060,1061,0.188,0.517,3.821,4.338
u1060,1060,130,499.65,1060,1061,0.035,0.520,3.254,3.774
u1060,1060,140,452.46,1060,1061,0.024,0.523,3.286,3.809
u1060,1060,150,447.01,1060,1061,0.030,0.520,3.336,3.856
Num.,,,,,,15,15,15,15
Avg.,,,,,,0.969,0.521,4.737,5.259
