Instance,n,p,kissat nsc hybrid_threshold radius,kissat nsc hybrid_threshold #vars,kissat nsc hybrid_threshold #clauses,kissat nsc hybrid_threshold cpu,kissat nsc hybrid_threshold load,kissat nsc hybrid_threshold search,kissat nsc hybrid_threshold total
u1817,1817,10,457.91,1817,1818,4.372,1.353,30.635,31.988
u1817,1817,20,309.01,1817,1818,964.896,1.347,587.353,588.700
u1817,1817,30,240.99,1817,1818,54.170,1.347,471.769,473.116
u1817,1817,40,209.45,1817,1818,2870.655,1.344,3242.055,3243.398
u1817,1817,50,184.91,1817,1818,10.522,1.351,553.724,555.076
u1817,1817,60,162.64,1817,1818,6.349,1.346,61.874,63.220
u1817,1817,70,148.11,1817,1818,3.164,1.348,327.217,328.565
u1817,1817,80,136.77,1817,1818,129.500,1.347,227.114,228.461
u1817,1817,90,129.54,1817,1818,12.113,1.349,14419.675,14421.024
u1817,1817,100,126.99,1817,1818,3.186,1.350,15.434,16.783
u1817,1817,110,109.25,1817,1818,4.236,1.346,18.339,19.685
u1817,1817,120,107.76,1817,1818,1.333,1.355,16.293,17.648
u1817,1817,130,104.73,1817,1818,579.431,1.341,103.703,105.044
u1817,1817,140,101.6,1817,1818,30.017,1.352,23.934,25.286
u1817,1817,150,91.6,1817,1818,4.520,1.352,20.258,21.610
Num.,,,,,,15,15,15,15
Avg.,,,,,,311.898,1.349,1341.292,1342.640
