Instance,n,p,radius,maplecm nsc,maplecm pysat_sc,maplechrono nsc,maplechrono pysat_sc,sparrow2riss nsc,sparrow2riss pysat_sc
pmed01,100,5,127,0.003,0.003,0.006,0.025,0.298,0.285
pmed02,100,10,98,0.015,0.052,1.09,0.476,0.312,0.36
pmed03,100,10,93,0.027,0.005,0.583,0.527,0.317,0.437
pmed04,100,20,74,0.001,0.004,0.002,0.004,0.227,0.234
pmed05,100,33,48,<0.001,<0.001,<0.001,<0.001,0.026,0.026
pmed06,200,5,84,0.128,0.23,3.374,1.594,0.502,1.022
pmed07,200,10,64,0.114,2.588,5.377,2.489,0.378,0.378
pmed08,200,20,55,0.528,2.533,4.189,37.253,0.288,0.209
pmed09,200,40,37,0.006,0.008,0.785,0.576,0.216,0.233
pmed10,200,67,20,<0.001,<0.001,<0.001,<0.001,0.12,0.119
pmed11,300,5,59,0.314,1.241,3.134,2.511,1.23,1.014
pmed12,300,10,51,0.887,1.208,3.476,4.526,1.081,0.835
pmed13,300,30,36,3202.73,2782.153,2978.404,3910.008,0.405,1.389
pmed14,300,60,26,1.599,23.35,5.721,7.194,0.433,0.363
pmed15,300,100,18,0.001,0.001,0.011,<0.001,0.079,0.078
pmed16,400,5,47,0.116,0.349,1.695,0.328,2.106,1.976
pmed17,400,10,39,21.18,220.854,11.924,106.323,1.365,1.357
pmed18,400,40,28,to,to,to,to,1.489,1.643
pmed19,400,80,18,to,to,to,to,3.211,3.478
pmed20,400,133,13,0.12,0.156,1.278,1.345,0.521,0.504
pmed21,500,5,40,0.783,0.721,10.435,11.23,3.146,3.542
pmed22,500,10,38,3214.142,3542.134,1043.213,1021.411,19.657,20.187
pmed23,500,50,22,to,to,to,to,12.782,14.123
pmed24,500,100,15,3043.261,3621.278,5877.624,5421.356,1.178,1.363
pmed25,500,167,11,0.322,0.423,3.257,3.562,0.344,0.412
pmed26,600,5,38,0.486,0.663,6.041,7.943,2.398,2.542
pmed27,600,10,32,198.312,212.316,452.65,442.671,3.138,3.436
pmed28,600,60,18,to,to,to,to,1.249,1.421
pmed29,600,120,13,15.45,18.213,15.764,17.298,1.282,1.107
pmed30,600,200,9,0.896,1.012,7.452,8.723,0.563,0.698
pmed31,700,5,30,1.168,1.784,10.766,16.644,2.671,2.55
pmed32,700,10,29,20.561,22.314,2167.481,1723.871,7.328,7.791
pmed33,700,70,15,to,to,to,to,45.921,48.152
pmed34,700,140,11,3692.941,3284.125,35.794,38.217,2.071,2.305
pmed35,800,5,30,2.531,3.002,22.681,20.137,4.93,5.01
pmed36,800,10,27,to,to,to,to,37.923,40.213
pmed37,800,80,15,to,to,to,to,8.67,8.52
pmed38,900,5,29,1.624,1.565,1.057,1.279,8.751,9.027
pmed39,900,10,23,to,to,to,to,189.531,198.062
pmed40,900,90,13,to,to,to,to,26.056,28.42
Num.,,,,31,31,31,31,40,40
Avg.,,,,432.266,443.364,408.879,413.21,9.855,10.37
