radius,total_nodes,remaining_nodes,reduction_rate_percent,total_fixed,total_removed,r1_fixed,r1_removed,r2_fixed,r2_removed,r2_pairs,add_fixed,add_removed
2273.0838023486945,1060,1058,0.19,1,1,1,1,0,0,0,0,0
2273.0838023486945,1060,1058,0.19,1,1,1,1,0,0,0,0,0
1580.795158203617,1060,1058,0.19,2,0,0,0,0,0,0,2,0
1207.7734725518685,1060,994,6.23,5,61,2,16,1,44,0,2,1
1020.5609533976892,1060,980,7.55,6,74,4,68,0,5,0,2,1
904.9234259869723,1060,877,17.26,11,172,5,78,3,85,0,3,9
781.1698617458305,1060,814,23.21,17,229,10,109,4,119,0,3,1
710.7469705176359,1060,790,25.47,19,251,10,73,6,174,0,3,4
652.1627490128516,1060,799,24.62,20,241,12,134,5,104,0,3,3
607.8652739711322,1060,738,30.38,32,290,18,148,11,135,0,3,7
570.0089201056421,1060,863,18.58,28,169,16,76,7,84,0,5,9
538.8359486893926,1060,845,20.28,34,181,21,74,8,101,0,5,6
510.2706703309522,1060,781,26.32,42,237,25,113,11,103,0,6,21
499.64999999999964,1060,686,35.28,52,322,32,167,13,134,0,7,21
452.4622773226507,1060,519,51.04,77,464,39,196,29,231,0,9,37
447.00792878874023,1060,539,49.15,83,438,43,186,30,227,0,10,25
