Instance,n,p,radius,maplechrono nsc,maplechrono pb_bdd,maplechrono pypb_sc,maplechrono pysat_sc
pmed01,100,5,127,0.011,0.035,0.035,0.051
pmed02,100,10,98,2.813,6.145,6.660,1.713
pmed03,100,10,93,1.097,3.676,3.867,0.712
pmed04,100,20,74,0.005,0.031,0.023,0.005
pmed05,100,33,48,0.000,0.000,0.000,0.000
pmed06,200,5,84,7.245,3.990,3.800,3.109
pmed07,200,10,64,14.358,14.909,16.233,7.619
pmed08,200,20,55,23.807,11.923,12.730,27.038
pmed09,200,40,37,5.893,6.696,6.283,3.205
pmed10,200,67,20,0.001,0.000,0.000,0.001
Num.,,,,10,10,10,10
Avg.,,,,5.523,4.741,4.963,4.345
