Instance,n,p,radius,nsc #vars,nsc #clauses,pysat_kmtotalizer #vars,pysat_kmtotalizer #clauses,pysat_mtotalizer #vars,pysat_mtotalizer #clauses,pysat_totalizer #vars,pysat_totalizer #clauses,glucose4 nsc wall,glucose4 nsc cpu,glucose4 pysat_kmtotalizer wall,glucose4 pysat_kmtotalizer cpu,glucose4 pysat_mtotalizer wall,glucose4 pysat_mtotalizer cpu,glucose4 pysat_totalizer wall,glucose4 pysat_totalizer cpu
u1060,1060,10,2273.0838023486945,10537,21002,4680,11303,7569,56471,11708,570810,0.236,0.236,0.193,0.193,0.111,0.111,0.150,0.150
u1060,1060,20,1580.7951582036167,19933,39865,5250,14106,7569,56551,11708,570899,1.869,1.869,2.427,2.392,1.012,1.011,1.757,1.757
u1060,1060,30,1207.7734725518685,25585,51058,4928,14211,7151,52118,10970,504496,1.145,1.145,2.726,2.726,1.254,1.252,1.239,1.239
u1060,1060,40,1020.5609533976892,33785,67442,4949,14875,7030,51318,10816,490547,1.518,1.517,1.426,1.424,1.187,1.187,1.655,1.655
u1060,1060,50,904.9234259869723,34483,68716,4767,13935,6325,43392,9683,393821,2.299,2.298,3.979,3.977,2.606,2.606,2.353,2.349
u1060,1060,60,781.1698617458303,35116,69893,4609,13739,5913,38711,8990,339875,1.140,1.140,0.611,0.611,0.531,0.531,0.891,0.891
u1060,1060,70,710.7469705176359,40024,79664,4484,14091,5768,37339,8726,320370,0.600,0.599,0.931,0.931,0.965,0.965,0.849,0.849
u1060,1060,80,652.1627490128516,47170,93993,4544,14490,5822,37907,8825,327661,0.731,0.731,2.233,2.232,3.384,3.380,2.532,2.531
u1060,1060,90,607.8652739711322,42153,83842,4253,13309,5418,33576,8154,280082,0.582,0.581,0.808,0.808,0.367,0.368,0.495,0.495
u1060,1060,100,570.0089201056421,60568,120853,4895,16733,6238,42518,9529,381541,0.895,0.894,0.455,0.455,0.209,0.209,0.461,0.461
u1060,1060,110,538.8359486893926,62354,124379,4823,16385,6130,41417,9331,365960,0.963,0.962,0.822,0.822,0.875,0.874,0.888,0.888
u1060,1060,120,510.2706703309522,58897,117364,4567,15249,5683,36027,8627,313223,1.173,1.173,0.225,0.226,0.425,0.425,0.285,0.285
u1060,1060,130,499.64999999999964,51487,102414,4139,13267,5074,30126,7582,242508,0.376,0.376,0.309,0.309,0.207,0.207,0.258,0.258
u1060,1060,140,452.4622773226507,31741,62780,3328,9819,3929,19631,5745,140132,0.292,0.292,0.092,0.092,0.089,0.089,0.097,0.097
u1060,1060,150,447.00792878874023,34895,69092,3520,10748,4080,21088,5965,150914,0.243,0.243,0.075,0.075,0.098,0.098,0.121,0.121
Num.,,,,,,,,,,,,15,15,15,15,15,15,15,15
Avg.,,,,,,,,,,,,0.937,0.937,1.154,1.152,0.888,0.888,0.935,0.935
