Instance,n,p,cplex_cp nsc binary radius,cplex_cp nsc binary #vars,cplex_cp nsc binary #clauses,cplex_cp nsc binary load,cplex_cp nsc binary search,cplex_cp nsc binary total,cplex_cp pb_bdd binary radius,cplex_cp pb_bdd binary #vars,cplex_cp pb_bdd binary #clauses,cplex_cp pb_bdd binary load,cplex_cp pb_bdd binary search,cplex_cp pb_bdd binary total,cplex_cp pypb_bdd binary radius,cplex_cp pypb_bdd binary #vars,cplex_cp pypb_bdd binary #clauses,cplex_cp pypb_bdd binary load,cplex_cp pypb_bdd binary search,cplex_cp pypb_bdd binary total,cplex_cp pysat_kmtotalizer binary radius,cplex_cp pysat_kmtotalizer binary #vars,cplex_cp pysat_kmtotalizer binary #clauses,cplex_cp pysat_kmtotalizer binary load,cplex_cp pysat_kmtotalizer binary search,cplex_cp pysat_kmtotalizer binary total,cplex_cp pysat_mtotalizer binary radius,cplex_cp pysat_mtotalizer binary #vars,cplex_cp pysat_mtotalizer binary #clauses,cplex_cp pysat_mtotalizer binary load,cplex_cp pysat_mtotalizer binary search,cplex_cp pysat_mtotalizer binary total,cplex_cp pysat_totalizer binary radius,cplex_cp pysat_totalizer binary #vars,cplex_cp pysat_totalizer binary #clauses,cplex_cp pysat_totalizer binary load,cplex_cp pysat_totalizer binary search,cplex_cp pysat_totalizer binary total
u1060,1060,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
u1060,1060,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Num.,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0
Avg.,,,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-
