Instance,n,p,glucose4 nsc hybrid_race radius,glucose4 nsc hybrid_race #vars,glucose4 nsc hybrid_race #clauses,glucose4 nsc hybrid_race cpu,glucose4 nsc hybrid_race load,glucose4 nsc hybrid_race search,glucose4 nsc hybrid_race total
u1060,1060,10,2273.08,11622,40150,0.002,0.521,6.642,7.163
u1060,1060,20,1580.8,1060,1061,3.256,0.516,13.386,13.902
u1060,1060,30,1207.77,1060,1061,1.689,0.517,11.849,12.366
u1060,1060,40,1020.56,1060,1061,3.226,0.511,11.426,11.937
u1060,1060,50,904.92,1060,1061,1.812,0.512,11.044,11.556
u1060,1060,60,781.17,62847,142500,0.404,0.513,10.478,10.991
u1060,1060,70,710.75,72793,163430,0.557,0.515,11.037,11.552
u1060,1060,80,652.16,1060,1061,1.644,0.514,8.942,9.456
u1060,1060,90,607.87,1060,1061,0.258,0.517,8.508,9.025
u1060,1060,100,570.01,1060,1061,0.319,0.510,8.629,9.140
u1060,1060,110,538.84,1060,1061,0.052,0.513,9.373,9.886
u1060,1060,120,510.27,1060,1061,0.343,0.512,9.355,9.868
u1060,1060,130,499.65,1060,1061,0.036,0.513,8.918,9.431
u1060,1060,140,452.46,1060,1061,0.026,0.511,9.454,9.966
u1060,1060,150,447.01,1060,1061,0.032,0.522,8.310,8.832
Num.,,,,,,15,15,15,15
Avg.,,,,,,0.911,0.515,9.824,10.338
