instance,step_no,lo_before,hi_before,mid_idx,radius,remaining_iters,sat_status,sat_wall,sat_cpu,sat_centers,cplex_status,cplex_wall,cplex_cpu,cplex_centers,winner,status_mismatch
,1,0,135858,67929,8233.61,18,sat,0.0437674910062924,0.04348999999996295,"[367, 1057]",sat,0.25338978398940526,0.010716000000002168,"[0, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 17, 18, 22, 41, 42, 43, 44, 45, 48, 74, 75, 76, 77, 78, 89, 92, 108, 109, 142, 145, 150, 151, 152, 153, 154, 155, 157, 158, 161, 162, 163, 166, 167, 168, 169, 170, 172, 173, 177, 178, 179, 180, 181, 182, 183, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 234, 239, 243, 244, 246, 247, 252, 253, 265, 280, 367]",sat,0
,2,67930,135858,101894,5535.69,17,sat,0.04143860097974539,0.04116599999997561,"[8, 367, 544, 1054, 1057]",sat,0.21865339900250547,0.006127999999989697,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22, 43, 45, 46, 48, 74, 76, 77, 78, 92, 94, 108, 109, 141, 145, 149, 151, 152, 153, 154, 155, 157, 159, 162, 163, 166, 167, 168, 170, 172, 173, 178, 179, 180, 181, 182, 183, 186, 187, 188, 189, 190, 192, 193, 194, 195, 220, 221, 222, 223, 226, 227, 228, 229, 230, 233, 234, 238, 239, 242, 243, 244, 246, 247, 253, 265, 266, 267, 268, 273, 275, 280, 289, 294, 295, 296, 327, 338, 341, 342, 343, 345, 347, 355, 356, 357, 358, 359, 367, 375, 376, 377, 378, 380, 381, 387, 393, 395, 400, 420, 432]",sat,0
,3,101895,135858,118876,3905.84,16,sat,0.0221472300181631,0.02187200000003031,"[8, 277, 367, 458, 544, 727, 927, 1029, 1054]",sat,0.43337325399625115,0.23929499999997006,"[38, 46, 82, 88, 90, 194, 199, 218, 219, 244, 295, 322, 338, 342, 426, 454, 621]",sat,0
,4,118877,135858,127367,2771.88,15,sat,0.029501254990464076,0.029232000000035896,"[140, 267, 277, 367, 437, 458, 504, 544, 715, 727, 809, 927, 1027, 1058]",sat,0.35075309898820706,0.165362000000016,"[18, 20, 50, 61, 75, 78, 94, 109, 180, 181, 182, 188, 193, 194, 195, 197, 206, 208, 218, 220, 223, 224, 227, 230, 234, 239, 243, 244, 247, 253, 267, 268, 275, 280, 320, 324, 327, 341, 375, 474, 596, 719, 736]",sat,0
,5,127368,135858,131613,1967.52,14,sat,0.02040680800564587,0.020117000000027474,"[91, 163, 269, 485, 512, 544, 598, 615, 632, 718, 724, 729, 777, 804, 807, 815, 856, 883, 927, 994, 1024, 1029, 1049, 1058]",sat,0.2630433849990368,0.08824599999996963,"[7, 11, 17, 18, 20, 44, 47, 76, 77, 80, 89, 92, 109, 111, 130, 131, 144, 152, 162, 165, 168, 171, 172, 182, 189, 191, 193, 194, 196, 197, 198, 199, 200, 206, 208, 217, 218, 219, 220, 221, 223, 224, 229, 230, 233, 234, 239, 240, 242, 243, 247, 253, 267, 268, 273, 275, 278, 280, 288, 289, 291, 292, 294, 295, 296, 305, 324, 327, 330, 339, 341, 342, 345, 358, 359, 374, 375, 376, 378, 394, 398, 400, 401, 408, 410, 411, 414, 422, 425, 428, 433, 439, 441, 453, 455, 459, 464, 466, 502, 513, 516, 523, 529, 544, 675, 717, 747, 805, 808, 826, 964, 974, 1028]",sat,0
,6,131614,135858,133736,1401.11,13,sat,0.019796582986600697,0.01949899999999616,"[19, 38, 139, 173, 232, 267, 362, 363, 378, 386, 436, 449, 473, 485, 489, 512, 544, 598, 615, 632, 675, 718, 724, 729, 731, 748, 777, 804, 807, 815, 856, 866, 883, 898, 927, 934, 963, 981, 994, 1016, 1024, 1026, 1029, 1049, 1058]",sat,0.21603641999536194,0.04555900000002566,"[4, 6, 8, 9, 10, 11, 12, 14, 17, 18, 20, 22, 33, 37, 42, 48, 76, 78, 89, 93, 94, 109, 111, 131, 140, 153, 154, 165, 167, 168, 173, 182, 188, 193, 195, 197, 198, 200, 206, 207, 208, 213, 215, 217, 218, 219, 220, 222, 223, 227, 228, 230, 233, 234, 238, 239, 240, 243, 244, 247, 265, 268, 274, 275, 280, 287, 289, 291, 292, 294, 295, 296, 305, 320, 321, 327, 331, 342, 345, 347, 354, 357, 358, 371, 375, 376, 378, 393, 398, 410, 411, 414, 417, 420, 422, 425, 426, 440, 441, 443, 444, 445, 446, 448, 449, 452, 458, 459, 460, 464, 465, 470, 471, 476, 533, 534, 581, 609, 625, 671, 677, 718, 733, 765, 801, 806, 808, 818, 827, 847, 897, 931, 983, 1027, 1029]",sat,0
,7,133737,135858,134797,999.79,12,sat,0.020556396018946543,0.020253000000025168,"[72, 76, 101, 134, 139, 143, 168, 173, 183, 216, 232, 244, 266, 267, 276, 280, 316, 333, 352, 354, 362, 363, 378, 386, 387, 400, 436, 449, 463, 473, 485, 489, 504, 512, 527, 544, 571, 597, 598, 615, 632, 675, 701, 716, 718, 724, 729, 731, 748, 760, 777, 795, 804, 807, 815, 823, 856, 866, 880, 883, 891, 898, 904, 927, 934, 943, 957, 963, 981, 994, 1016, 1024, 1026, 1028, 1029, 1033, 1049, 1058, 1059]",sat,0.21404099802020937,0.0438490000000229,"[4, 22, 31, 53, 59, 76, 92, 106, 133, 145, 165, 182, 199, 231, 277, 311, 326, 347, 367, 386, 390, 419, 427, 439, 453, 462, 498, 525, 541, 573, 620, 633, 678, 682, 703, 718, 726, 731, 747, 762, 784, 800, 805, 818, 825, 866, 880, 894, 918, 930, 945, 948, 981, 995, 1029, 1041]",sat,0
,8,134798,135858,135328,700.51,11,sat,0.020928932004608214,0.020670999999993,"[0, 6, 11, 26, 53, 58, 66, 71, 72, 76, 82, 101, 113, 125, 134, 139, 143, 161, 168, 173, 183, 195, 206, 216, 232, 244, 256, 266, 267, 276, 280, 288, 316, 329, 333, 346, 350, 352, 354, 362, 363, 364, 374, 378, 386, 387, 392, 400, 415, 422, 430, 436, 449, 463, 473, 485, 489, 504, 506, 512, 519, 527, 534, 544, 548, 552, 558, 568, 571, 596, 597, 598, 599, 606, 615, 628, 632, 650, 675, 701, 716, 718, 724, 729, 731, 732, 738, 748, 751, 760, 777, 779, 794, 795, 804, 807, 815, 823, 832, 839, 856, 866, 871, 880, 883, 891, 898, 904, 913, 922, 927, 934, 943, 953, 957, 963, 981, 994, 1016, 1024, 1026, 1028, 1029, 1033, 1041, 1049, 1058, 1059]",sat,0.19881091700517572,0.03238899999996647,"[0, 4, 12, 40, 56, 64, 70, 76, 82, 95, 123, 129, 142, 167, 182, 198, 213, 219, 224, 245, 261, 263, 268, 275, 281, 295, 311, 313, 319, 332, 346, 363, 375, 390, 401, 403, 422, 432, 443, 458, 473, 488, 498, 511, 524, 533, 543, 552, 569, 578, 595, 608, 623, 636, 670, 681, 692, 706, 715, 718, 722, 729, 732, 739, 747, 754, 779, 794, 810, 817, 826, 851, 877, 883, 899, 900, 909, 924, 938, 940, 943, 953, 962, 981, 994, 1029, 1049, 1055]",sat,0
,9,135329,135858,135593,500.14,10,sat,0.5238797699857969,0.5235660000000166,"[2, 6, 20, 29, 40, 43, 55, 56, 59, 67, 72, 80, 85, 89, 106, 107, 114, 122, 132, 136, 140, 154, 161, 177, 188, 194, 207, 213, 220, 227, 246, 260, 265, 266, 268, 274, 275, 280, 281, 288, 295, 297, 307, 309, 321, 326, 330, 341, 344, 354, 364, 375, 378, 384, 387, 391, 396, 410, 417, 422, 429, 439, 457, 461, 471, 472, 486, 493, 495, 506, 513, 516, 531, 535, 537, 544, 548, 550, 556, 558, 568, 571, 577, 585, 593, 597, 599, 600, 608, 609, 616, 628, 646, 670, 671, 674, 675, 678, 687, 699, 701, 708, 713, 716, 718, 728, 731, 732, 733, 740, 749, 753, 765, 770, 787, 798, 806, 815, 816, 824, 826, 836, 841, 851, 854, 861, 865, 868, 873, 881, 883, 892, 896, 901, 923, 930, 935, 941, 950, 963, 964, 967, 975, 985, 1015, 1028, 1029, 1037, 1043, 1055]",sat,0.18497029598802328,0.01900599999999031,"[2, 4, 7, 11, 12, 14, 17, 20, 22, 23, 31, 42, 59, 69, 74, 83, 88, 93, 97, 112, 130, 140, 154, 168, 175, 189, 194, 207, 216, 219, 222, 223, 226, 231, 234, 238, 241, 247, 252, 260, 266, 268, 274, 275, 282, 288, 293, 306, 325, 330, 341, 344, 354, 365, 369, 373, 375, 382, 391, 398, 409, 424, 431, 438, 443, 444, 445, 449, 452, 453, 460, 461, 470, 471, 478, 486, 494, 504, 506, 519, 532, 535, 537, 544, 548, 552, 556, 562, 565, 567, 568, 572, 579, 584, 589, 592, 601, 607, 616, 626, 638, 676, 678, 684, 688, 691, 714, 718, 721, 724, 731, 732, 733, 740, 752, 766, 780, 788, 799, 806, 816, 824, 826, 836, 851, 862, 867, 873, 879, 883, 891, 895, 904, 917, 930, 935, 943, 947, 950, 958, 964, 975, 984, 996, 1028, 1029, 1035, 1040, 1049, 1055]",cplex,0
,10,135594,135858,135726,353.75,9,unsat,0.7591568180068862,0.7588680000000636,[],unsat,0.17520702400361188,0.007093999999995049,[],cplex,0
,11,135594,135725,135659,430.09,8,unsat,2.4387630200071726,2.438338999999985,[],unsat,0.1876654020161368,0.022335999999995693,[],cplex,0
,12,135594,135658,135626,453.17,7,sat,1.3588660990062635,1.3584820000000377,"[1, 3, 6, 9, 12, 27, 33, 37, 42, 53, 62, 67, 75, 77, 82, 83, 90, 102, 107, 108, 121, 126, 128, 130, 137, 147, 155, 166, 178, 189, 198, 208, 212, 220, 232, 239, 244, 246, 256, 258, 266, 269, 273, 277, 280, 285, 293, 308, 319, 322, 330, 341, 344, 351, 360, 369, 375, 382, 388, 391, 398, 409, 424, 427, 435, 441, 445, 456, 459, 461, 468, 471, 478, 486, 494, 504, 506, 519, 533, 537, 544, 548, 551, 560, 568, 579, 594, 605, 616, 624, 636, 668, 672, 675, 682, 685, 690, 697, 708, 711, 716, 718, 724, 731, 732, 734, 740, 752, 765, 777, 785, 799, 806, 811, 815, 820, 824, 831, 835, 836, 843, 847, 856, 865, 867, 873, 881, 884, 890, 896, 904, 914, 923, 930, 935, 941, 950, 963, 964, 966, 974, 976, 985, 998, 1028, 1029, 1030, 1041, 1045, 1051]",sat,0.18756180198397487,0.019885999999985415,"[1, 4, 18, 22, 30, 32, 37, 45, 55, 61, 68, 72, 80, 91, 93, 107, 118, 121, 126, 130, 140, 150, 159, 174, 187, 198, 208, 211, 221, 223, 238, 252, 255, 260, 266, 271, 274, 279, 280, 288, 295, 302, 308, 316, 321, 330, 341, 344, 349, 357, 369, 375, 382, 388, 391, 396, 409, 424, 427, 437, 440, 445, 446, 454, 461, 467, 480, 486, 494, 504, 506, 519, 533, 537, 544, 548, 549, 551, 555, 562, 568, 573, 580, 595, 605, 607, 616, 624, 630, 640, 672, 675, 684, 692, 703, 712, 716, 718, 720, 722, 724, 731, 732, 734, 740, 752, 765, 772, 789, 800, 806, 816, 820, 824, 831, 835, 841, 845, 862, 867, 873, 879, 883, 888, 894, 896, 906, 921, 923, 930, 935, 941, 949, 950, 964, 966, 972, 982, 989, 998, 1028, 1029, 1032, 1046, 1050, 1057]",cplex,0
,13,135627,135658,135642,447.44,5,sat,2.270136723003816,2.269730000000038,"[1, 4, 9, 19, 31, 35, 41, 48, 55, 61, 66, 72, 80, 83, 90, 102, 107, 115, 121, 126, 130, 139, 145, 159, 174, 187, 196, 198, 208, 212, 228, 232, 243, 249, 255, 260, 271, 274, 279, 280, 286, 288, 294, 307, 321, 324, 336, 341, 344, 348, 349, 363, 371, 379, 382, 389, 391, 398, 409, 424, 427, 439, 444, 445, 455, 462, 470, 480, 486, 493, 497, 504, 506, 520, 533, 537, 543, 545, 549, 551, 555, 566, 567, 574, 583, 593, 600, 605, 611, 612, 627, 640, 672, 679, 682, 685, 690, 700, 712, 716, 718, 719, 724, 731, 732, 734, 740, 749, 760, 772, 789, 799, 806, 808, 815, 817, 831, 833, 836, 845, 850, 858, 865, 867, 874, 879, 883, 889, 896, 904, 914, 923, 931, 936, 939, 941, 949, 952, 964, 965, 966, 972, 983, 988, 1025, 1028, 1029, 1034, 1047, 1054]",sat,0.19758615200407803,0.026967000000013286,"[1, 4, 8, 9, 15, 20, 23, 31, 38, 45, 56, 62, 68, 72, 80, 90, 95, 99, 105, 114, 125, 133, 138, 149, 159, 174, 187, 198, 208, 212, 222, 223, 234, 242, 247, 255, 260, 266, 271, 274, 279, 280, 288, 295, 301, 311, 316, 318, 324, 332, 341, 344, 349, 357, 365, 371, 379, 382, 388, 391, 398, 409, 424, 427, 437, 441, 445, 455, 462, 467, 480, 486, 493, 496, 504, 506, 520, 533, 537, 543, 545, 549, 551, 555, 566, 574, 585, 594, 605, 616, 624, 630, 640, 672, 675, 682, 685, 690, 700, 712, 716, 718, 720, 724, 731, 732, 734, 740, 750, 761, 775, 786, 801, 806, 816, 820, 824, 826, 835, 842, 850, 861, 867, 873, 879, 883, 888, 894, 896, 906, 910, 923, 933, 936, 940, 941, 944, 949, 952, 964, 965, 972, 982, 985, 998, 1028, 1029, 1033, 1046, 1054]",cplex,0
