Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc,glucose4 nsc,kissat nsc,nsc with reduction #vars,nsc with reduction #clauses,glucose4 pypb_bdd,pypb_bdd #vars,pypb_bdd #clauses,cplex,maxcdcl,cplex_maxcdcl load,cplex_maxcdcl search,cplex_maxcdcl total,cplex load,cplex search,cplex total,glucose4 nsc binary load,glucose4 nsc binary search,glucose4 nsc binary total,glucose4 nsc kary load,glucose4 nsc kary search,glucose4 nsc kary total,glucose4 nsc kary sb search,glucose4 nsc kary sb total,glucose4 nsc no reduction,glucose4 nsc incremental base #vars,glucose4 nsc incremental base #clauses,glucose4 nsc no reduction incremental base cpu,glucose4 nsc incremental base load,glucose4 nsc incremental base search,glucose4 nsc incremental base total,cplex 1 core binary #vars,cplex 1 core binary #clauses,cplex 1 core binary cpu,cplex 1 core binary load,cplex 1 core binary search,cplex 1 core binary total,glucose4 nsc hybrid_threshold 1 core #vars,glucose4 nsc hybrid_threshold 1 core #clauses,glucose4 nsc hybrid_threshold 1 core cpu,glucose4 nsc hybrid_threshold 1 core load,glucose4 nsc hybrid_threshold 1 core search,glucose4 nsc hybrid_threshold 1 core total,cplex binary cpu,cplex binary load,cplex binary search,cplex binary total,glucose4 nsc hybrid_threshold cpu,glucose4 nsc hybrid_threshold load,glucose4 nsc hybrid_threshold search,glucose4 nsc hybrid_threshold total
u1060,1060,10,2273.083802,0.554,4.32,138.041,0.226,0.53,10537,20967,1.122,6742,15023,0.329,0.304,0.185,26.146,26.331,0.131,29.98,30.111,0.533,5.655,6.187,0.532,4.402,4.933,15.132,15.655,0.138,11623,41210,0.002,0.52,2.941,3.461,1060,1061,0.228,0.553,7.532,8.085,11612,29550,0.229,0.588,5.634,6.221,0.237,0.538,7.557,8.094,0.238,0.536,5.57,6.106
u1060,1060,20,1580.795158,7.744,17.824,90.471,1.524,1.76,19933,39828,40.031,9913,20635,0.627,351.646,0.2,27.23,27.43,0.231,30.988,31.219,0.523,16.254,16.778,0.531,10.803,11.334,21.434,21.951,1.634,22067,61020,5.244,0.51,39.499,40.01,1060,1061,0.443,0.55,10.526,11.076,22057,50420,0.443,0.593,8.792,9.385,3.118,0.54,9.381,9.921,3.181,0.524,7.677,8.201
u1060,1060,30,1207.773473,5.837,16.446,131.073,1.771,2.87,25585,51026,78.153,11526,22969,0.729,timeout,0.208,24.869,25.077,0.206,29.111,29.317,0.525,13.725,14.25,0.527,8.994,9.521,22.314,22.834,0.452,32412,81690,0.003,0.504,21.288,21.792,1060,1061,0.395,0.553,8.686,9.239,32402,71090,0.396,0.587,6.878,7.464,1.674,0.537,8.25,8.788,1.525,0.52,6.278,6.798
u1060,1060,40,1020.560953,5.548,13.436,94.171,0.758,1.2,33785,67402,7.821,12923,25708,1.02,timeout,0.235,25.405,25.64,0.151,29.035,29.186,0.533,14.235,14.768,0.521,10.378,10.9,22.632,23.146,0.435,42657,102160,3.025,0.509,20.678,21.187,1060,1061,0.391,0.552,7.8,8.352,42647,91560,0.401,0.579,6.902,7.481,2.948,0.539,7.581,8.12,3.043,0.525,6.573,7.097
u1060,1060,50,904.923426,7.621,16.05,149.919,1.875,3.87,34483,68689,1726.956,12377,24586,1.41,timeout,0.148,22.185,22.333,0.137,24.895,25.032,0.528,23.191,23.719,0.527,15.756,16.282,26.736,27.255,1.993,52802,122430,4.361,0.504,41.62,42.125,1060,1061,0.269,0.553,7.579,8.132,52792,111830,0.27,0.586,6.056,6.641,1.626,0.539,7.021,7.559,1.583,0.521,5.536,6.057
u1060,1060,60,781.1698617,2.966,11.303,138.376,0.689,0.5,35116,69856,95.388,12334,23841,0.975,timeout,0.157,24.128,24.285,0.225,26.82,27.045,0.526,14.956,15.482,0.526,10.62,11.146,20.881,21.403,1.314,62848,143560,0.004,0.506,11.893,12.398,1060,1061,0.246,0.552,7.69,8.241,62837,131900,0.248,0.591,6.175,6.766,2.486,0.536,7.661,8.197,2.509,0.529,6.117,6.646
u1060,1060,70,710.7469705,4.763,10.901,165.616,0.655,1.3,40024,79636,193.462,12596,24675,1.405,timeout,0.221,21.023,21.244,0.152,24.872,25.024,0.53,15.785,16.315,0.549,11.636,12.184,23.903,24.421,0.903,72793,163430,0.158,0.508,8.004,8.512,1060,1061,0.266,0.556,9.87,10.426,72782,151770,0.264,0.606,8.445,9.051,0.536,0.534,7.389,7.923,0.521,0.515,5.845,6.36
u1060,1060,80,652.162749,3.06,13.532,190.61,0.912,2.64,47170,93947,218.025,14100,26271,3.706,660.69,0.168,16.449,16.617,0.212,20.134,20.346,0.531,15.639,16.17,0.528,10.638,11.166,22.142,22.662,0.699,82637,182040,1.67,0.505,10.445,10.949,1060,1061,0.812,0.558,5.46,6.018,82627,171440,0.812,0.599,4.197,4.796,1.302,0.54,4.79,5.33,1.288,0.515,3.572,4.087
u1060,1060,90,607.865274,2.132,5.019,172.336,0.499,1.09,42153,83813,14.008,13103,23972,0.956,253.251,0.229,13.385,13.614,0.213,16.971,17.184,0.531,16.289,16.82,0.529,12.02,12.549,22.668,23.189,1.073,92382,201510,1.044,0.506,10.51,11.016,1060,1061,0.068,0.56,4.705,5.266,92372,190910,0.068,0.572,3.596,4.168,0.154,0.544,4.629,5.172,0.155,0.519,3.453,3.972
u1060,1060,100,570.0089201,3.907,7.658,253.434,0.911,1.4,60568,120728,10.261,16044,30371,1.424,597.97,0.225,11.328,11.553,0.213,14.111,14.324,0.537,18.546,19.083,0.532,13.047,13.579,23.511,24.03,1.068,102027,220780,0.786,0.517,10.815,11.332,1060,1061,0.068,0.556,4.515,5.071,102017,210180,0.068,0.597,3.416,4.013,0.166,0.548,4.504,5.052,0.17,0.519,3.328,3.848
u1060,1060,110,538.8359487,6.81,7.973,263.447,0.816,2.44,62354,124267,25.223,16065,30364,0.49,2.153,0.208,11.792,12,0.23,14.925,15.155,0.53,19.577,20.108,0.528,13.657,14.184,24.519,25.038,1.338,111572,239850,1.261,0.514,11.471,11.985,1060,1061,0.047,0.558,4.503,5.06,111562,229250,0.048,0.572,3.543,4.115,0.048,0.55,4.441,4.991,0.049,0.521,3.413,3.933
u1060,1060,120,510.2706703,3.733,10.79,236.056,0.803,1.53,58897,117289,15.128,15278,28276,0.805,timeout,0.216,17.657,17.873,0.211,21.759,21.97,0.53,23.63,24.159,0.53,15.348,15.878,26.179,26.697,1.466,121018,259780,0.622,0.515,12.318,12.833,1060,1061,0.046,0.557,4.409,4.966,121007,248120,0.046,0.585,3.845,4.431,0.195,0.552,4.441,4.993,0.188,0.517,3.821,4.338
u1060,1060,130,499.65,2.64,2.912,11.233,0.329,1.22,51487,102367,2.92,13731,25188,0.067,0.83,0.083,2.84,2.923,0.08,3.824,3.904,0.53,21.592,22.122,0.535,15.14,15.675,26.697,27.218,1.269,130362,277390,0.01,0.513,9.254,9.767,1060,1061,0.038,0.547,3.94,4.488,130352,266790,0.039,0.585,3.327,3.912,0.035,0.548,3.868,4.416,0.035,0.52,3.254,3.774
u1060,1060,140,452.4622773,0.787,0.918,8.533,0.143,0.3,31741,62761,0.752,9323,17811,0.051,0.778,0.083,2.634,2.717,0.08,3.731,3.811,0.528,24.187,24.715,0.529,16.771,17.299,26.679,27.201,1.259,139607,295860,1.3,0.516,11.651,12.168,1060,1061,0.023,0.56,3.902,4.462,139597,285260,0.023,0.58,3.343,3.923,0.024,0.534,3.832,4.366,0.024,0.523,3.286,3.809
u1060,1060,150,447.0079288,0.99,1.974,33.128,0.178,0.2,34895,69066,1.565,9887,18905,0.101,1.482,0.084,2.661,2.745,0.08,3.605,3.685,0.539,25.03,25.569,0.531,17.932,18.463,28.027,28.546,1.9,148752,314130,1.407,0.514,10.715,11.229,1060,1061,0.033,0.559,3.887,4.446,148742,303530,0.033,0.584,3.395,3.979,0.029,0.55,3.767,4.317,0.03,0.52,3.336,3.856
Num.,,,,15,15,15,15,15,,,15,,,15,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,15,15,15,15,,,15,15,15,15,,,15,15,15,15,15,15,15,15,15,15,15,15
