Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc,glucose4 nsc,kissat nsc,nsc #vars,nsc #clauses,kissat pypb_bdd,pypb_bdd #vars,pypb_bdd #clauses,cplex_maxcdcl load,cplex_maxcdcl search,cplex_maxcdcl total,cplex load,cplex search,cplex total,kissat nsc binary load,kissat nsc binary search,kissat nsc binary total,kissat nsc kary load,kissat nsc kary search,kissat nsc kary total,kissat nsc no reduction,cplex binary cpu,cplex binary load,cplex binary search,cplex binary total,kissat nsc hybrid_threshold cpu,kissat nsc hybrid_threshold load,kissat nsc hybrid_threshold search,kissat nsc hybrid_threshold total,gurobi_mip binary cpu,gurobi_mip binary load,gurobi_mip binary search,gurobi_mip binary total,kissat nsc hybrid_race cpu,kissat nsc hybrid_race load,kissat nsc hybrid_race search,kissat nsc hybrid_race total
u1817,1817,10,457.905012,6.154,24.828,182.628,4.057,3.1,19932,39844,96.6,12171,26522,0.331,445,445.331,0.317,468.896,469.213,1.354,31.494,32.848,1.36,34.781,36.141,1.36,4.303,1.366,34.224,35.589,4.372,1.353,30.635,31.988,4.253,1.355,35.874,37.229,0.97,1.372,37.777,39.149
u1817,1817,20,309.0142005,79.509,121.032,262.019,1138.407,53.37,37947,75854,334.93,17820,37520,0.206,4905.33,4905.536,0.182,4916.141,4916.323,1.345,442.841,444.186,1.355,195.523,196.878,36.58,960.646,1.349,588.3,589.649,964.896,1.347,587.353,588.7,119.523,1.349,169.121,170.47,59.74,1.35,522.155,523.505
u1817,1817,30,240.9876937,60.535,78.929,490.733,302.879,70.76,53959,107821,10409.28,22397,44950,0.233,2486.098,2486.331,0.181,2509.755,2509.936,1.341,593.329,594.67,1.347,451.247,452.594,52.58,54.478,1.368,473.22,474.588,54.17,1.347,471.769,473.116,19.631,1.351,86.285,87.637,58.144,1.35,499.982,501.332
u1817,1817,40,209.448916,229.85,185.974,437.029,219.119,201.09,69704,139315,timeout,24678,49589,0.185,timeout,timeout,0.18,timeout,timeout,1.348,790.976,792.324,1.358,572.523,573.88,112.9,2866.537,1.361,3243.108,3244.469,2870.655,1.344,3242.055,3243.398,8.358,1.349,3179.765,3181.114,112.11,1.349,1254.982,1256.33
u1817,1817,50,184.905176,566.614,298.264,1589.417,1633.878,645.26,89576,179053,timeout,28373,56177,0.185,4179.671,4179.856,0.337,4193.868,4194.205,1.345,1028.957,1030.302,1.357,543.561,544.918,83.8,9.935,1.366,554.404,555.77,10.522,1.351,553.724,555.076,9.511,1.357,576.634,577.991,12.871,1.353,787.049,788.402
u1817,1817,60,162.6377945,120,135.467,519.322,48.547,21.9,100853,201551,586.45,30388,58395,0.363,438.32,438.683,0.341,442.553,442.894,1.343,380.855,382.199,1.35,234.296,235.646,25.58,5.979,1.36,62.487,63.847,6.349,1.346,61.874,63.22,2.28,1.35,92.223,93.573,6.881,1.355,116.193,117.548
u1817,1817,70,148.1096087,71.568,78.584,621.47,41.015,21.5,115762,231323,378.6,32161,61183,0.315,2885.42,2885.735,0.293,2902.869,2903.162,1.357,234.276,235.632,1.35,175.297,176.647,7.79,3.377,1.375,326.828,328.203,3.164,1.348,327.217,328.565,0.485,1.352,481.709,483.061,3.426,1.372,295.372,296.745
u1817,1817,80,136.7739014,921.135,578.812,1740.522,1104.255,179.08,135539,270897,timeout,33620,64935,0.238,4850.475,4850.713,0.183,4860.816,4860.999,1.339,615.806,617.145,1.353,387.155,388.508,156.2,128.287,1.368,227.121,228.489,129.5,1.347,227.114,228.461,61.24,1.357,55.907,57.264,137.442,1.362,299.592,300.954
u1817,1817,90,129.5072515,443.242,275.594,2294.338,1985.104,132.27,149972,299732,timeout,34927,67535,0.36,timeout,timeout,0.3,timeout,timeout,1.342,1328.023,1329.365,1.352,1392.016,1393.368,75.48,timeout,1.361,timeout,timeout,timeout,1.349,timeout,timeout,timeout,1.35,timeout,timeout,45.993,1.351,1824.147,1825.498
u1817,1817,100,126.9940003,133.529,92.223,964.684,55.849,31.37,159919,319560,231.74,35789,68777,0.33,35.663,35.993,0.226,44.409,44.635,1.343,115.845,117.187,1.357,84.679,86.035,16.93,3.332,1.366,13.85,15.217,3.186,1.35,15.434,16.783,1.145,1.357,11.436,12.794,3.889,1.361,23.93,25.292
