instance,p,radius_used,symmetry_type,num_candidates,num_demands,num_symmetry_classes,total_symmetric_nodes,max_class_size,symmetry_ratio
u1060,10,2273.08,automorphism,1060,1060,23,58,7,0.05471698113207547
u1060,20,1580.8,automorphism,1060,1060,25,62,6,0.05849056603773585
u1060,30,1207.77,automorphism,1060,1060,29,85,8,0.08018867924528301
u1060,40,1020.56,automorphism,1060,1060,45,123,8,0.1160377358490566
u1060,50,904.92,automorphism,1060,1060,58,154,8,0.14528301886792452
u1060,60,781.17,automorphism,1060,1060,95,276,12,0.26037735849056604
u1060,70,710.75,automorphism,1060,1060,98,290,18,0.27358490566037735
u1060,80,652.16,automorphism,1060,1060,83,265,10,0.25
u1060,90,607.87,automorphism,1060,1060,89,302,20,0.2849056603773585
u1060,100,570.01,automorphism,1060,1060,111,318,16,0.3
u1060,110,538.84,automorphism,1060,1060,82,271,14,0.25566037735849056
u1060,120,510.27,automorphism,1060,1060,92,268,8,0.2528301886792453
u1060,130,499.65,automorphism,1060,1060,107,324,14,0.30566037735849055
u1060,140,452.46,automorphism,1060,1060,119,344,16,0.32452830188679244
u1060,150,447.01,automorphism,1060,1060,102,295,8,0.2783018867924528
