DACN,Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc,glucose4 nsc,kissat nsc,nsc with reduction#vars,nsc with reduction #clauses,kissat pypb_bdd,pypb_bdd #vars,pypb_bdd #clauses,KLTN,maplecm nsc binary total,maplechrono nsc binary total,glucose4 nsc binary total,kissat nsc binary #vars,kissat nsc binary #clauses,kissat nsc binary search,kissat sc binary #vars,kissat sc binary #clauses,kissat sc binary search,kissat nsc kary total,cplex_mip binary total,gurobi_mip binary total,kissat nsc cplex hybrid_race total,kissat nsc gurobi hybrid_race total,rc2 binary search,openwbo binary search
,u1817,1817,10,457.905012,6.154,24.828,182.628,4.057,3.1,19932,39844,96.6,12171,26522,,81.223,205.762,27.361,19932,39844,32.848,19977,39943,34.88,36.141,51.452,60.684,33.102,32.198,40.387,47.349
,u1817,1817,20,309.0142005,79.509,121.032,262.019,1138.407,53.37,37947,75854,334.93,17820,37520,,435.469,464.569,4432.329,37947,75854,444.186,38137,76253,471.665,196.878,3714.309,265.877,445.055,263.838,1224.238,1937.201
,u1817,1817,30,240.9876937,60.535,78.929,490.733,302.879,70.76,53959,107821,10409.28,22397,44950,,562.735,1106.055,644.619,55862,111664,594.67,56297,112563,631.455,452.594,1672.655,509.819,583.47,341.237,6984.395,4097.855
,u1817,1817,40,209.448916,229.85,185.974,437.029,219.119,201.09,69704,139315,timeout,24678,49589,,721.238,1014.136,753.054,73677,147274,792.324,74457,148873,841.33,573.88,13618.422,9857.28,792.952,483.236,-,-
,u1817,1817,50,184.905176,566.614,298.264,1589.417,1633.878,645.26,89576,179053,timeout,28373,56177,,815.59,1251.087,1038.747,91392,182684,1030.302,92617,185183,1094.024,544.918,4007.188,3891.359,1031.328,884.74,-,4850.864
,u1817,1817,60,162.6377945,120,135.467,519.322,48.547,21.9,100853,201551,586.45,30388,58395,,695.042,730.994,626.508,109007,217894,382.199,110777,221493,405.843,235.646,278.379,249.74,276.765,250.018,-,4237.271
,u1817,1817,70,148.1096087,71.568,78.584,621.47,41.015,21.5,115762,231323,378.6,32161,61183,,415.592,473.33,398.451,126522,252904,235.632,128937,257803,250.211,176.647,2131.42,6380.956,224.504,356.434,-,4434.718
,u1817,1817,80,136.7739014,921.135,578.812,1740.522,1104.255,179.08,135539,270897,timeout,33620,64935,,1409.318,2256.906,2879.828,143937,287714,617.145,147097,294113,655.32,388.508,164.142,100.512,164.386,100.489,-,5087.273
,u1817,1817,90,129.5072515,443.242,275.594,2294.338,1985.104,132.27,149972,299732,timeout,34927,67535,,1696.294,3025.414,3182.776,161252,322324,1329.365,165257,330423,1411.587,1393.368,timeout,timeout,1332.892,1861.18,-,5736.753
,u1817,1817,100,126.9940003,133.529,92.223,964.684,55.849,31.37,159919,319560,231.74,35789,68777,,498.621,584.417,171.002,178467,356734,117.187,183417,366733,124.433,86.035,15.025,12.517,15.535,12.742,-,4268.213
,u1817,1817,110,109.2495309,72.242,65.54,926.847,26.299,18.54,149129,297817,1625.04,34247,64309,,401.507,565.977,125.559,195582,390944,142.205,201577,403043,151.002,77.514,19.428,14.444,19.687,14.831,-,3878.495
,u1817,1817,120,107.7630744,42.887,47.253,921.667,12.019,11.15,153287,306058,19.95,34441,63609,,487.53,612.775,212.492,212597,424954,135.908,219737,439353,144.315,95.657,13.813,12.566,14.255,12.786,-,4390.96
,u1817,1817,130,104.7293087,1236.574,414.397,1537.314,550.672,264.6,199833,399302,timeout,40025,73773,,7418.892,2940.909,4562.346,229512,458764,1309.357,237897,475663,1390.342,827.46,461.18,96.412,462.73,96.954,-,4984.542
,u1817,1817,140,101.6,203.156,242.049,1092.454,107.406,38.7,216860,433360,3013,41153,75869,,1391.977,1226.93,462.589,246327,492374,229.943,256057,511973,244.17,123.66,30.965,13.709,31.506,14.06,-,4573.001
,u1817,1817,150,91.60319045,214.924,163.276,1056.894,65.489,27.72,220438,440445,6586.44,40864,75158,,1381.509,1130.152,592.735,263042,525784,428.468,274217,548283,454.965,348.8,21.507,15.1,21.897,15.645,-,-
,Num.,,,,15,15,15,15,15,,,10,,,,15,15,15,,,15,,,15,15,14,14,15,15,3,13
,Avg.,,,,293.461,186.815,975.822,486.333,114.694,,,2328.203,,,,1227.502,1172.628,1340.693,,,521.449,,,553.699,370.514,1871.42,1534.355,363.338,316.026,2749.673333,4040.346
