Instance,n,p,radius,nsc #vars,nsc #clauses,pysat_kmtotalizer #vars,pysat_kmtotalizer #clauses,pysat_mtotalizer #vars,pysat_mtotalizer #clauses,pysat_totalizer #vars,pysat_totalizer #clauses,glucose4 nsc wall,glucose4 nsc cpu,glucose4 pysat_kmtotalizer wall,glucose4 pysat_kmtotalizer cpu,glucose4 pysat_mtotalizer wall,glucose4 pysat_mtotalizer cpu,glucose4 pysat_totalizer wall,glucose4 pysat_totalizer cpu
u1060,1060,10,2273.0838023486945,10537,21002,4680,11303,7569,56471,11708,570810,0.225,0.225,0.177,0.177,0.152,0.152,0.080,0.080
u1060,1060,20,1580.7951582036167,19933,39865,5250,14106,7569,56551,11708,570899,2.457,2.457,1.559,1.559,0.705,0.705,1.507,1.507
u1060,1060,30,1207.7734725518685,25585,51058,4928,14211,7151,52118,10970,504496,1.060,1.060,1.164,1.164,2.016,2.015,1.116,1.117
u1060,1060,40,1020.5609533976892,33785,67442,4949,14875,7030,51318,10816,490547,0.805,0.805,1.838,1.837,1.167,1.166,0.721,0.721
u1060,1060,50,904.9234259869723,34483,68716,4767,13935,6325,43392,9683,393821,2.090,2.089,2.623,2.622,3.282,3.282,1.556,1.556
u1060,1060,60,781.1698617458303,35116,69893,4609,13739,5913,38711,8990,339875,0.599,0.564,0.338,0.338,0.675,0.675,0.811,0.810
u1060,1060,70,710.7469705176359,40024,79664,4484,14091,5768,37339,8726,320370,0.682,0.681,0.772,0.772,1.073,1.073,1.759,1.759
u1060,1060,80,652.1627490128516,47170,93993,4544,14490,5822,37907,8825,327661,1.197,1.197,2.280,2.280,2.104,2.103,1.112,1.112
u1060,1060,90,607.8652739711322,42153,83842,4253,13309,5418,33576,8154,280082,0.361,0.362,0.764,0.764,0.571,0.571,0.542,0.542
u1060,1060,100,570.0089201056421,60568,120853,4895,16733,6238,42518,9529,381541,0.694,0.694,0.251,0.251,0.473,0.473,0.433,0.433
u1060,1060,110,538.8359486893926,62354,124379,4823,16385,6130,41417,9331,365960,0.898,0.898,1.193,1.191,0.808,0.807,0.712,0.713
u1060,1060,120,510.2706703309522,58897,117364,4567,15249,5683,36027,8627,313223,1.136,1.135,0.396,0.396,0.247,0.247,0.440,0.440
u1060,1060,130,499.64999999999964,51487,102414,4139,13267,5074,30126,7582,242508,0.462,0.462,0.211,0.211,0.206,0.206,0.287,0.288
u1060,1060,140,452.4622773226507,31741,62780,3328,9819,3929,19631,5745,140132,0.190,0.190,0.071,0.072,0.082,0.082,0.071,0.071
u1060,1060,150,447.00792878874023,34895,69092,3520,10748,4080,21088,5965,150914,0.227,0.227,0.095,0.095,0.095,0.095,0.146,0.146
Num.,,,,,,,,,,,,15,15,15,15,15,15,15,15
Avg.,,,,,,,,,,,,0.872,0.870,0.915,0.915,0.910,0.910,0.753,0.753
