instance,p,radius_used,symmetry_type,num_candidates,num_demands,num_symmetry_classes,total_symmetric_nodes,max_class_size,symmetry_ratio
u1817,10,457.91,automorphism,1817,1817,0,0,0,0.0
u1817,20,309.01,automorphism,1817,1817,4,8,2,0.004402861860209136
u1817,30,240.99,automorphism,1817,1817,7,14,2,0.007705008255365988
u1817,40,209.45,automorphism,1817,1817,10,24,6,0.013208585580627407
u1817,50,184.91,automorphism,1817,1817,25,55,3,0.03026967528893781
u1817,60,162.64,automorphism,1817,1817,24,54,4,0.02971931755641167
u1817,70,148.11,automorphism,1817,1817,48,103,4,0.056686846450192625
u1817,80,136.77,automorphism,1817,1817,13,33,5,0.018161805173362685
u1817,90,129.51,automorphism,1817,1817,12,33,6,0.018161805173362685
u1817,100,126.99,automorphism,1817,1817,51,124,6,0.0682443588332416
u1817,110,109.25,automorphism,1817,1817,42,92,6,0.05063291139240506
u1817,120,107.76,automorphism,1817,1817,33,73,6,0.040176114474408366
u1817,130,104.73,automorphism,1817,1817,9,25,6,0.01375894331315355
u1817,140,101.6,automorphism,1817,1817,7,19,4,0.010456796917996699
u1817,150,91.6,automorphism,1817,1817,26,55,4,0.03026967528893781
