Instance,n,p,radius,nsc #vars,nsc #clauses,pysat_kmtotalizer #vars,pysat_kmtotalizer #clauses,pysat_mtotalizer #vars,pysat_mtotalizer #clauses,pysat_totalizer #vars,pysat_totalizer #clauses,glucose4 nsc wall,glucose4 nsc cpu,glucose4 pysat_kmtotalizer wall,glucose4 pysat_kmtotalizer cpu,glucose4 pysat_mtotalizer wall,glucose4 pysat_mtotalizer cpu,glucose4 pysat_totalizer wall,glucose4 pysat_totalizer cpu
u1060,1060,10,2273.0838023486945,10537,20967,4680,11268,7569,56436,11708,570775,0.152,0.152,0.157,0.157,0.146,0.146,0.151,0.151
u1060,1060,20,1580.7951582036167,19933,39828,5250,14069,7569,56514,11708,570862,2.103,2.007,1.952,1.951,1.139,1.139,1.350,1.350
u1060,1060,30,1207.7734725518685,25585,51026,4928,14179,7151,52086,10970,504464,0.351,0.351,1.230,1.230,1.311,1.310,0.825,0.821
u1060,1060,40,1020.5609533976892,33785,67402,4949,14835,7030,51278,10816,490507,1.497,1.497,1.137,1.136,1.474,1.474,0.813,0.812
u1060,1060,50,904.9234259869723,34483,68689,4767,13908,6325,43365,9683,393794,1.688,1.688,1.426,1.423,3.042,3.030,2.944,2.942
u1060,1060,60,781.1698617458303,35116,69856,4609,13702,5913,38674,8990,339838,0.906,0.896,1.121,1.121,1.098,1.098,1.433,1.433
u1060,1060,70,710.7469705176359,40024,79636,4484,14063,5768,37311,8726,320342,0.782,0.782,1.104,1.098,0.159,0.159,0.921,0.921
u1060,1060,80,652.1627490128516,47170,93947,4544,14444,5822,37861,8825,327615,0.958,0.958,2.790,2.789,1.838,1.837,2.090,2.089
u1060,1060,90,607.8652739711322,42153,83813,4253,13280,5418,33547,8154,280053,0.599,0.599,0.422,0.422,0.505,0.505,0.353,0.353
u1060,1060,100,570.0089201056421,60568,120728,4895,16608,6238,42393,9529,381416,0.537,0.537,0.511,0.511,0.400,0.400,0.525,0.525
u1060,1060,110,538.8359486893926,62354,124267,4823,16273,6130,41305,9331,365848,0.645,0.645,1.552,1.551,0.930,0.930,0.888,0.888
u1060,1060,120,510.2706703309522,58897,117289,4567,15174,5683,35952,8627,313148,0.588,0.588,0.450,0.450,0.275,0.275,0.234,0.234
u1060,1060,130,499.64999999999964,51487,102367,4139,13220,5074,30079,7582,242461,0.334,0.334,0.179,0.179,0.157,0.157,0.083,0.083
u1060,1060,140,452.4622773226507,31741,62761,3328,9800,3929,19612,5745,140113,0.186,0.186,0.046,0.046,0.085,0.085,0.102,0.102
u1060,1060,150,447.00792878874023,34895,69066,3520,10722,4080,21062,5965,150888,0.156,0.156,0.055,0.055,0.072,0.072,0.091,0.091
Num.,,,,,,,,,,,,15,15,15,15,15,15,15,15
Avg.,,,,,,,,,,,,0.765,0.758,0.942,0.941,0.842,0.841,0.854,0.853
