Instance,n,p,radius,glucose4 nsc,nsc #vars,nsc #clauses,glucose4 pypb_bdd cpu,pypb_bdd #vars,pypb_bdd #clauses
u1060,1060,10,2273.08,0.226,10537,20967,1.122,6742,15023
u1060,1060,20,1580.8,1.524,19933,39828,40.031,9913,20635
u1060,1060,30,1207.77,1.771,25585,51026,78.153,11526,22969
u1060,1060,40,1020.56,0.758,33785,67402,7.821,12923,25708
u1060,1060,50,904.92,1.875,34483,68689,1726.956,12377,24586
u1060,1060,60,781.17,0.689,35116,69856,95.388,12334,23841
u1060,1060,70,710.75,0.655,40024,79636,193.462,12596,24675
u1060,1060,80,652.16,0.912,47170,93947,218.025,14100,26271
u1060,1060,90,607.87,0.499,42153,83813,14.008,13103,23972
u1060,1060,100,570.01,0.911,60568,120728,10.261,16044,30371
u1060,1060,110,538.84,0.816,62354,124267,25.223,16065,30364
u1060,1060,120,510.27,0.803,58897,117289,15.128,15278,28276
u1060,1060,130,499.65,0.329,51487,102367,2.92,13731,25188
u1060,1060,140,452.46,0.143,31741,62761,0.752,9323,17811
u1060,1060,150,447.01,0.178,34895,69066,1.565,9887,18905
