Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc,glucose4 nsc,kissat nsc,nsc #vars,nsc #clauses,glucose4 pypb_bdd,pypb_bdd #vars,pypb_bdd #clauses,cplex,maxcdcl
u1060,1060,10,2273.083802,0.554,4.32,138.041,0.226,0.53,10537,20967,1.122,6742,15023,0.329,0.304
u1060,1060,20,1580.795158,7.744,17.824,90.471,1.524,1.76,19933,39828,40.031,9913,20635,0.627,351.646
u1060,1060,30,1207.773473,5.837,16.446,131.073,1.771,2.87,25585,51026,78.153,11526,22969,0.729,timeout
u1060,1060,40,1020.560953,5.548,13.436,94.171,0.758,1.2,33785,67402,7.821,12923,25708,1.02,timeout
u1060,1060,50,904.923426,7.621,16.05,149.919,1.875,3.87,34483,68689,1726.956,12377,24586,1.41,timeout
u1060,1060,60,781.1698617,2.966,11.303,138.376,0.689,0.5,35116,69856,95.388,12334,23841,0.975,timeout
u1060,1060,70,710.7469705,4.763,10.901,165.616,0.655,1.3,40024,79636,193.462,12596,24675,1.405,timeout
u1060,1060,80,652.162749,3.06,13.532,190.61,0.912,2.64,47170,93947,218.025,14100,26271,3.706,660.69
u1060,1060,90,607.865274,2.132,5.019,172.336,0.499,1.09,42153,83813,14.008,13103,23972,0.956,253.251
u1060,1060,100,570.0089201,3.907,7.658,253.434,0.911,1.4,60568,120728,10.261,16044,30371,1.424,597.97
u1060,1060,110,538.8359487,6.81,7.973,263.447,0.816,2.44,62354,124267,25.223,16065,30364,0.49,2.153
u1060,1060,120,510.2706703,3.733,10.79,236.056,0.803,1.53,58897,117289,15.128,15278,28276,0.805,timeout
u1060,1060,130,499.65,2.64,2.912,11.233,0.329,1.22,51487,102367,2.92,13731,25188,0.067,0.83
u1060,1060,140,452.4622773,0.787,0.918,8.533,0.143,0.3,31741,62761,0.752,9323,17811,0.051,0.778
u1060,1060,150,447.0079288,0.99,1.974,33.128,0.178,0.2,34895,69066,1.565,9887,18905,0.101,1.482
Num.,,,,15,15,15,15,15,,,15,,,15,9
Avg.,,,,3.94,9.404,138.43,0.806,1.523,,,162.054,,,0.94,207.678
