Instance,n,p,radius,kissat nsc cpu,nsc #vars,nsc #clauses,kissat pypb_bdd cpu,pypb_bdd #vars,pypb_bdd #clauses
u1817,1817,10,457.91,3.1,19932,39844,96.6,12171,26522
u1817,1817,20,309.01,53.37,37947,75854,334.93,17820,37520
u1817,1817,30,240.99,70.76,53959,107821,10409.28,22397,44950
u1817,1817,40,209.45,201.09,69704,139315,timeout,24678,49589
u1817,1817,50,184.91,645.26,89576,179053,timeout,28373,56177
u1817,1817,60,162.64,21.9,100853,201551,586.45,30388,58395
u1817,1817,70,148.11,21.5,115762,231323,378.6,32161,61183
u1817,1817,80,136.77,179.08,135539,270897,timeout,33620,64935
u1817,1817,90,129.51,132.27,149972,299732,timeout,34927,67535
u1817,1817,100,126.99,31.37,159919,319560,231.74,35789,68777
u1817,1817,110,109.25,18.54,149129,297817,1625.04,34247,64309
u1817,1817,120,107.76,11.15,153287,306058,19.95,34441,63609
u1817,1817,130,104.73,264.6,199833,399302,timeout,40025,73773
u1817,1817,140,101.6,38.7,216860,433360,3013,41153,75869
u1817,1817,150,91.6,27.72,220438,440445,6586.44,40864,75158
